anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
0.00085672,0.0143954,0.000602039,6.43737e-05,0.00494302,0.960398,0.0173975,0.00134259
0.000581662,0.08637,0.00114603,0.000172795,0.299317,0.596474,0.0109853,0.00495306
0.00151719,0.0147582,0.00104137,0.000205416,0.0203508,0.921697,0.0375417,0.00288861
0.000642894,0.0431926,0.000279947,2.02558e-05,0.0602258,0.885735,0.0093001,0.00060293
0.000564739,0.0495197,0.00032066,2.61631e-05,0.140377,0.801423,0.00725723,0.000511904
0.000170796,0.0275525,9.34929e-05,3.26641e-06,0.0793396,0.88966,0.00300976,0.000170267
0.000245273,0.0147235,0.000119695,5.92206e-06,0.0320796,0.948441,0.00411156,0.00027329
0.00048423,0.0102935,0.000167093,8.89927e-06,0.015431,0.96713,0.00618982,0.000295253
0.000622699,0.00700918,0.000239202,1.22417e-05,0.00708802,0.975651,0.00892761,0.00045046
0.000299792,0.00710622,9.70443e-05,4.218e-06,0.00716667,0.97939,0.00572103,0.000215426
0.000880358,0.00639668,0.000297672,2.68236e-05,0.0253621,0.955152,0.0110597,0.000824392
0.00232234,0.00851171,0.000505185,5.23727e-05,0.0219952,0.95617,0.00952725,0.000916298
0.00255417,0.011234,0.000521433,7.51793e-05,0.092252,0.884385,0.00741917,0.00155894
0.00404124,0.016405,0.00105533,0.000189521,0.111522,0.855264,0.00872247,0.00280088
0.00350365,0.0132015,0.000799026,9.9348e-05,0.0916691,0.884252,0.00465958,0.00181636
0.00286508,0.0134928,0.000587743,8.69878e-05,0.0645934,0.911405,0.00596266,0.00100604
0.0021098,0.0104781,0.000398908,2.46751e-05,0.0748318,0.909153,0.00240458,0.000599397
0.000326615,0.00438668,4.43144e-05,7.82584e-07,0.0879983,0.906696,0.000476145,7.15428e-05
0.000632289,0.0067274,0.000119327,5.97469e-06,0.0913302,0.899638,0.0011784,0.000367994
0.000379966,0.0108338,0.000105344,4.04835e-06,0.152704,0.834631,0.000985298,0.000357025
0.000318913,0.00740122,7.2402e-05,1.53405e-06,0.208365,0.78342,0.000167917,0.000252537
0.000341173,0.0172757,0.000145826,4.86541e-06,0.219233,0.761712,0.000514432,0.000772813
0.00203737,0.0213911,0.00103692,2.41593e-05,0.252237,0.715426,0.00069385,0.00715304
0.00147876,0.0175307,0.00143898,4.32054e-05,0.225938,0.746276,0.00121201,0.00608288
0.00378693,0.0126103,0.00219695,7.1864e-05,0.188323,0.763935,0.0013497,0.0277258
0.00207916,0.00899332,0.0016985,8.49615e-05,0.294625,0.671297,0.00258938,0.0186331
0.00229877,0.00905601,0.00167157,5.22908e-05,0.231896,0.71858,0.00103564,0.0354091
0.00985069,0.0115048,0.00857023,0.000478124,0.084391,0.788329,0.00424564,0.092631
0.0104367,0.013355,0.00932193,0.000501525,0.12546,0.72785,0.00452123,0.108554
0.00350069,0.00949055,0.00346503,5.41283e-05,0.355592,0.564487,0.00109631,0.0623143
0.00207819,0.00896568,0.00225931,3.88581e-05,0.436519,0.510118,0.000823642,0.0391975
0.00294712,0.0117872,0.00312844,0.000128119,0.368595,0.558451,0.00213328,0.0528304
0.00638602,0.00998381,0.00613433,0.000271671,0.362993,0.539996,0.00623524,0.0679995
0.0134554,0.00961114,0.0112221,0.000933098,0.218194,0.654837,0.0129352,0.0788117
0.00931361,0.0100721,0.00768939,0.000583855,0.307193,0.590231,0.00915387,0.065763
0.00541162,0.0129479,0.00511782,0.000203151,0.379685,0.498158,0.00196557,0.0965106
0.00708166,0.0147279,0.00649787,0.00019381,0.294453,0.551858,0.00203324,0.123155
0.0104802,0.0227486,0.00917585,0.00101319,0.505368,0.406845,0.0053842,0.0389856
0.0159596,0.0237336,0.0111355,0.0010195,0.426387,0.494981,0.00647234,0.0203119
0.00601812,0.042639,0.00512094,0.000567516,0.487822,0.387884,0.0020665,0.0678823
0.00702022,0.0205558,0.00538442,0.00122555,0.450841,0.456078,0.00643952,0.0524547
0.00276293,0.00724836,0.00133856,0.000542197,0.242158,0.729156,0.00480476,0.0119889
0.00410668,0.02007,0.0026743,0.000491233,0.47624,0.472106,0.00467097,0.0196401
0.00197564,0.0146658,0.00129717,0.000209674,0.533216,0.439333,0.00285802,0.00644447
0.00136396,0.0146785,0.000929588,0.00012236,0.66584,0.311283,0.00242823,0.00335474
0.00084157,0.0106508,0.000618194,0.000103749,0.703244,0.279208,0.00182219,0.00351168
0.00156203,0.0129987,0.00119203,0.000333002,0.464126,0.507838,0.00497719,0.00697326
0.000355772,0.0119747,0.00035009,2.74598e-05,0.668939,0.315846,0.000793479,0.00171437
